Descrição,Valor,Criação,Identificação
Dududrinks,-34,"August 2, 2024",supermercado
Daespetinhos,-26,"August 2, 2024",supermercado
Apoiase Ferrez,-25,"August 2, 2024",supermercado
Dududrinks,-34,"August 2, 2024",supermercado
RSCSS-SUPERMERCAD,-43.45,"July 31, 2024",supermercado
RSCSS-MASENDEMATE,-21.7,"July 31, 2024",supermercado
Google Youtube,-7.99,"July 30, 2024",apoio causa
Power Point Academia,-2.5,"July 30, 2024",lanche
Mp *Ladeiras,-33.8,"July 29, 2024",lanche
Leandro da Costa Oliv,-126,"July 29, 2024",supermercado
Pizzaria e Restaurante,-40,"July 29, 2024",lanche
REND PAGO APLIC AUT MAIS,0.02,"July 29, 2024",rendimento
RSCSS SUPERMERCADO,-127.32,"July 29, 2024",supermercado
RSCSS POSTO LAGOA,-10,"July 29, 2024",outros
RSCSS SUPERMERCADO,-78.17,"July 29, 2024",supermercado
RSCSS EDILCE DAS G,-22.2,"July 29, 2024",supermercado
Sabor da Empda,-4.5,"July 28, 2024",lanche
Drogaria do Povo,-7.8,"July 28, 2024",saúde
Pg *Ton Baronesas Ba,-13.5,"July 28, 2024",lazer
Power Point Academia,-3,"July 27, 2024",lanche
Mega Lanches,-37.9,"July 26, 2024",lanche
Google Youtubepremium,-24.9,"July 26, 2024",streaming
Google Youtube,-19.99,"July 26, 2024",apoio causa
RSCSS SUP LAGOA D,-68.56,"July 26, 2024",supermercado
Pg *Nuvem Sulsporttaek,-539.79,"July 25, 2024",compras
IOF de Steam Purchase,-0.77,"July 25, 2024",games
Steam Purchase,-17.7,"July 25, 2024",games
PIX TRANSF ANDERSO,-20,"July 25, 2024",supermercado
REND PAGO APLIC AUT MAIS,0.01,"July 25, 2024",rendimento
RSCSS SUPERMERCADO,-31.26,"July 25, 2024",supermercado
RSCSS SUPERMERCADO,-72.9,"July 25, 2024",supermercado
Sabor da Empda,-13.5,"July 24, 2024",lanche
RSCSS MERCEARIA SA,-31.4,"July 24, 2024",supermercado
RSCSS SUP LAGOA D,-44.96,"July 24, 2024",supermercado
REND PAGO APLIC AUT MAIS,0.01,"July 23, 2024",rendimento
RSCSS LADEIRAS COX,-29,"July 23, 2024",almoço
PIX TRANSF CHRISTI,-200,"July 23, 2024",saúde
RSCSS PAG MasendeM,-75,"July 23, 2024",supermercado
Ebn *Sonyplaystatn,-52.65,"July 22, 2024",games
REND PAGO APLIC AUT MAIS,0.01,"July 22, 2024",rendimento
RSCSS GEL DO PESQU,-70,"July 22, 2024",supermercado
RSCSS BERLINF AC L,-64.25,"July 22, 2024",supermercado
RSCSS SUPERMERCADO,-8.79,"July 22, 2024",supermercado
RSCSS MERCEARIA SA,-37.28,"July 22, 2024",supermercado
Plataforma do Sabor,-151,"July 21, 2024",lazer
Google Youtube,-7.99,"July 21, 2024",apoio causa
Rest Pizzaria Italieno,-144,"July 20, 2024",lazer
Mega Lanches,-62.8,"July 19, 2024",lanche
RSCSS MERCEARIA SA,-36.44,"July 19, 2024",supermercado
REND PAGO APLIC AUT MAIS,0.01,"July 19, 2024",rendimento
INT /COPASA,-92.19,"July 19, 2024",contas
INT /COPASA,-25.84,"July 19, 2024",contas
INT /COPASA,-65.45,"July 19, 2024",contas
INT /CEMIG DISTRIBUICA 0,-152.41,"July 19, 2024",contas
INT /COPASA,-79.61,"July 19, 2024",contas
PIX TRANSF Monica,-6,"July 19, 2024",lanche
PIX TRANSF Carlos,-32,"July 19, 2024",supermercado
Conta Vivo,-60,"July 18, 2024",contas
Google Youtube,-7.99,"July 18, 2024",apoio causa
Flyps Lanches,-39,"July 18, 2024",lanche
PIX TRANSF Pollyan,-225,"July 18, 2024",educação
